id;name;slug;description;brand;price;original_price;category_name;stock;tags;specs;is_featured;is_active;created_at;updated_at;image_url
41;Bóng thi đấu Kaiwin - Pro (Hộp 6 quả);bong-thi-au-kaiwin;Bóng Pickleball Bóng thi đấu Kaiwin - Pro (Hộp 6 quả) đạt chuẩn thi đấu. Thiết kế khí động học với 40 lỗ giúp bay ổn định, chất liệu bền bỉ cho độ nảy nhất quán trên mọi mặt sân.;Kaiwin;399000;399000;Bóng Pickleballn;35;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
42;Bóng thi đấu 48 lỗ;bong-thi-au-48;Bóng Pickleball Bóng thi đấu 48 lỗ đạt chuẩn thi đấu. Thiết kế khí động học với 40 lỗ giúp bay ổn định, chất liệu bền bỉ cho độ nảy nhất quán trên mọi mặt sân.;Kaiwin;399000;399000;Bóng Pickleball;40;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
79;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
80;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
81;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
82;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
83;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;1;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
84;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;1;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
85;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;3;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
86;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;3;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
87;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
88;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
